mode,p,seed,k,n_eval,n_correct,accuracy
2,0.25,2,1,150,41,0.2733333333333333
2,0.25,2,2,150,42,0.28
2,0.25,2,4,150,42,0.28
2,0.25,2,8,150,49,0.32666666666666666
2,0.25,3,1,150,45,0.3
2,0.25,3,2,150,42,0.28
2,0.25,3,4,150,46,0.30666666666666664
2,0.25,3,8,150,55,0.36666666666666664
2,0.25,4,1,150,43,0.2866666666666667
2,0.25,4,2,150,43,0.2866666666666667
2,0.25,4,4,150,39,0.26
2,0.25,4,8,150,55,0.36666666666666664
2,0.25,5,1,150,50,0.3333333333333333
2,0.25,5,2,150,36,0.24
2,0.25,5,4,150,47,0.31333333333333335
2,0.25,5,8,150,49,0.32666666666666666
2,0.25,6,1,150,50,0.3333333333333333
2,0.25,6,2,150,42,0.28
2,0.25,6,4,150,48,0.32
2,0.25,6,8,150,62,0.41333333333333333
2,0.25,7,1,150,51,0.34
2,0.25,7,2,150,53,0.35333333333333333
2,0.25,7,4,150,50,0.3333333333333333
2,0.25,7,8,150,53,0.35333333333333333
2,0.5,0,1,150,41,0.2733333333333333
2,0.5,0,2,150,30,0.2
2,0.5,0,4,150,38,0.25333333333333335
2,0.5,0,8,150,42,0.28
2,0.5,1,1,150,35,0.23333333333333334
2,0.5,1,2,150,34,0.22666666666666666
2,0.5,1,4,150,41,0.2733333333333333
2,0.5,1,8,150,30,0.2
2,0.5,2,1,150,27,0.18
2,0.5,2,2,150,31,0.20666666666666667
2,0.5,2,4,150,39,0.26
2,0.5,2,8,150,34,0.22666666666666666
2,0.5,3,1,150,28,0.18666666666666668
2,0.5,3,2,150,31,0.20666666666666667
2,0.5,3,4,150,41,0.2733333333333333
2,0.5,3,8,150,37,0.24666666666666667
2,0.5,4,1,150,26,0.17333333333333334
2,0.5,4,2,150,26,0.17333333333333334
2,0.5,4,4,150,26,0.17333333333333334
2,0.5,4,8,150,30,0.2
2,0.5,5,1,150,31,0.20666666666666667
2,0.5,5,2,150,26,0.17333333333333334
2,0.5,5,4,150,34,0.22666666666666666
2,0.5,5,8,150,43,0.2866666666666667
2,0.5,6,1,150,33,0.22
2,0.5,6,2,150,33,0.22
2,0.5,6,4,150,36,0.24
2,0.5,6,8,150,37,0.24666666666666667
2,0.5,7,1,150,27,0.18
2,0.5,7,2,150,27,0.18
2,0.5,7,4,150,38,0.25333333333333335
2,0.5,7,8,150,29,0.19333333333333333
2,0.75,0,1,150,26,0.17333333333333334
2,0.75,0,2,150,22,0.14666666666666667
2,0.75,0,4,150,25,0.16666666666666666
