mode,p,seed,N_mem,method,n_eval,n_correct,accuracy
1,0.5,4,10,concat,200,65,0.325
1,0.5,4,10,chemotaxis,200,46,0.23
1,0.5,4,20,recency,200,49,0.245
1,0.5,4,20,point,200,92,0.46
1,0.5,4,20,concat,200,83,0.415
1,0.5,4,20,chemotaxis,200,62,0.31
1,0.5,4,40,recency,200,49,0.245
1,0.5,4,40,point,200,117,0.585
1,0.5,4,40,concat,200,95,0.475
1,0.5,4,40,chemotaxis,200,65,0.325
1,0.5,4,80,recency,200,49,0.245
1,0.5,4,80,point,200,130,0.65
1,0.5,4,80,concat,200,112,0.56
1,0.5,4,80,chemotaxis,200,75,0.375
1,0.5,5,10,recency,200,58,0.29
1,0.5,5,10,point,200,76,0.38
1,0.5,5,10,concat,200,71,0.355
1,0.5,5,10,chemotaxis,200,55,0.275
1,0.5,5,20,recency,200,58,0.29
1,0.5,5,20,point,200,110,0.55
1,0.5,5,20,concat,200,92,0.46
1,0.5,5,20,chemotaxis,200,71,0.355
1,0.5,5,40,recency,200,58,0.29
1,0.5,5,40,point,200,129,0.645
1,0.5,5,40,concat,200,109,0.545
1,0.5,5,40,chemotaxis,200,91,0.455
1,0.5,5,80,recency,200,58,0.29
1,0.5,5,80,point,200,132,0.66
1,0.5,5,80,concat,200,122,0.61
1,0.5,5,80,chemotaxis,200,94,0.47
1,0.5,6,10,recency,200,58,0.29
1,0.5,6,10,point,200,86,0.43
1,0.5,6,10,concat,200,77,0.385
1,0.5,6,10,chemotaxis,200,57,0.285
1,0.5,6,20,recency,200,58,0.29
1,0.5,6,20,point,200,98,0.49
1,0.5,6,20,concat,200,67,0.335
1,0.5,6,20,chemotaxis,200,53,0.265
1,0.5,6,40,recency,200,58,0.29
1,0.5,6,40,point,200,106,0.53
1,0.5,6,40,concat,200,97,0.485
1,0.5,6,40,chemotaxis,200,70,0.35
1,0.5,6,80,recency,200,58,0.29
1,0.5,6,80,point,200,132,0.66
1,0.5,6,80,concat,200,117,0.585
1,0.5,6,80,chemotaxis,200,95,0.475
1,0.5,7,10,recency,200,50,0.25
1,0.5,7,10,point,200,73,0.365
1,0.5,7,10,concat,200,71,0.355
1,0.5,7,10,chemotaxis,200,44,0.22
1,0.5,7,20,recency,200,51,0.255
1,0.5,7,20,point,200,97,0.485
