control,mode,p,seed,method,n_eval,n_correct,accuracy
none,2,0.9,6,concat,200,37,0.185
none,2,0.9,6,chemotaxis,200,41,0.205
shuffled_r,2,0.9,6,recency,200,42,0.21
shuffled_r,2,0.9,6,point,200,40,0.2
shuffled_r,2,0.9,6,concat,200,39,0.195
shuffled_r,2,0.9,6,chemotaxis,200,38,0.19
shuffled_d,2,0.9,6,recency,200,37,0.185
shuffled_d,2,0.9,6,point,200,39,0.195
shuffled_d,2,0.9,6,concat,200,39,0.195
shuffled_d,2,0.9,6,chemotaxis,200,41,0.205
none,2,0.9,7,recency,200,41,0.205
none,2,0.9,7,point,200,40,0.2
none,2,0.9,7,concat,200,39,0.195
none,2,0.9,7,chemotaxis,200,33,0.165
shuffled_r,2,0.9,7,recency,200,43,0.215
shuffled_r,2,0.9,7,point,200,40,0.2
shuffled_r,2,0.9,7,concat,200,39,0.195
shuffled_r,2,0.9,7,chemotaxis,200,39,0.195
shuffled_d,2,0.9,7,recency,200,41,0.205
shuffled_d,2,0.9,7,point,200,40,0.2
shuffled_d,2,0.9,7,concat,200,39,0.195
shuffled_d,2,0.9,7,chemotaxis,200,36,0.18
none,2,0.9,8,recency,200,43,0.215
none,2,0.9,8,point,200,42,0.21
none,2,0.9,8,concat,200,45,0.225
none,2,0.9,8,chemotaxis,200,45,0.225
shuffled_r,2,0.9,8,recency,200,41,0.205
shuffled_r,2,0.9,8,point,200,35,0.175
shuffled_r,2,0.9,8,concat,200,39,0.195
shuffled_r,2,0.9,8,chemotaxis,200,33,0.165
shuffled_d,2,0.9,8,recency,200,43,0.215
shuffled_d,2,0.9,8,point,200,42,0.21
shuffled_d,2,0.9,8,concat,200,43,0.215
shuffled_d,2,0.9,8,chemotaxis,200,47,0.235
none,2,0.9,9,recency,200,36,0.18
none,2,0.9,9,point,200,41,0.205
none,2,0.9,9,concat,200,40,0.2
none,2,0.9,9,chemotaxis,200,37,0.185
shuffled_r,2,0.9,9,recency,200,35,0.175
shuffled_r,2,0.9,9,point,200,40,0.2
shuffled_r,2,0.9,9,concat,200,42,0.21
shuffled_r,2,0.9,9,chemotaxis,200,38,0.19
shuffled_d,2,0.9,9,recency,200,36,0.18
shuffled_d,2,0.9,9,point,200,41,0.205
shuffled_d,2,0.9,9,concat,200,39,0.195
shuffled_d,2,0.9,9,chemotaxis,200,37,0.185
